Cluster,GO biological process ,Classification,Goterm,Homo sapiens - REFLIST (20589),upload_1 (86),upload_1 (expected),upload_1 (over/under),upload_1 (fold Enrichment),upload_1 (raw P-value),upload_1 (FDR),ArbitraryNumberRank
Cluster-10,neutrophil activation ,Immune Function,GO:0042119,29,3,0.04,+,76.07,1.08E-05,9.44E-03,19
Cluster-10,phagocytosis ,Immune Function,GO:0006909,254,5,0.35,+,14.47,2.34E-05,1.66E-02,22
Cluster-10,protein-DNA complex assembly ,Intracellular Process,GO:0065004,200,6,0.27,+,22.06,2.90E-07,1.52E-03,3
Cluster-10,protein-DNA complex subunit organization ,Intracellular Process,GO:0071824,233,6,0.32,+,18.94,6.94E-07,2.72E-03,5
Cluster-10,regulation of actin cytoskeleton organization ,Intracellular Process,GO:0032956,364,6,0.5,+,12.12,8.65E-06,8.48E-03,16
Cluster-10,regulation of actin filament length ,Intracellular Process,GO:0030832,161,5,0.22,+,22.84,2.70E-06,3.84E-03,8
Cluster-10,regulation of actin filament-based process ,Intracellular Process,GO:0032970,405,6,0.55,+,10.89,1.57E-05,1.17E-02,20
Cluster-10,regulation of actin polymerization or depolymerization ,Intracellular Process,GO:0008064,158,5,0.21,+,23.27,2.46E-06,3.86E-03,9
Cluster-10,regulation of cell shape ,Intracellular Process,GO:0008360,155,5,0.21,+,23.72,2.25E-06,3.92E-03,10
Cluster-10,regulation of cellular component organization ,Intracellular Process,GO:0051128,2364,12,3.21,+,3.73,2.74E-05,1.87E-02,23
Cluster-10,response to biotic stimulus ,Response to Stimulus,GO:0009607,1478,11,2.01,+,5.47,1.83E-06,3.58E-03,7
Cluster-10,response to external biotic stimulus ,Response to Stimulus,GO:0043207,1432,11,1.95,+,5.65,1.34E-06,3.51E-03,6
Cluster-10,response to other organism ,Response to Stimulus,GO:0051707,1429,10,1.94,+,5.15,1.09E-05,8.99E-03,18
Cluster-10,nucleosome assembly ,Intracellular Process,GO:0006334,93,6,0.13,+,47.44,3.64E-09,5.70E-05,1
Cluster-10,nucleosome organization ,Intracellular Process,GO:0034728,125,6,0.17,+,35.3,1.97E-08,1.54E-04,2
Cluster-11,sterol transport ,Intercellular Transport,GO:0015918,83,4,0.21,+,18.72,0.0000736,5.02E-02,25
Cluster-11,transport ,Intercellular Transport,GO:0006810,3840,29,9.88,+,2.93,5.05E-09,3.96E-05,2
Cluster-11,very-low-density lipoprotein particle clearance ,Intercellular Transport,GO:0034447,3,2,0.01,+, > 100,0.0000644,4.59E-02,20
Cluster-11,vesicle-mediated transport ,Intercellular Transport,GO:0016192,1382,13,3.56,+,3.65,0.0000382,3.52E-02,17
Cluster-11,organic substance transport ,Intercellular Transport,GO:0071702,1964,20,5.06,+,3.96,3.68E-08,9.62E-05,4
Cluster-11,cellular localization ,Intracellular Process,GO:0051641,2655,23,6.83,+,3.37,4.46E-08,9.99E-05,6
Cluster-11,cellular macromolecule localization ,Intracellular Process,GO:0070727,1925,18,4.96,+,3.63,8.04E-07,1.05E-03,12
Cluster-11,establishment of localization ,Intracellular Process,GO:0051234,3997,30,10.29,+,2.92,2.47E-09,3.88E-05,1
Cluster-11,establishment of localization in cell ,Intracellular Process,GO:0051649,1752,19,4.51,+,4.21,3.42E-08,1.07E-04,7
Cluster-11,establishment of organelle localization ,Intracellular Process,GO:0051656,379,8,0.98,+,8.2,0.00000602,6.75E-03,14
Cluster-11,establishment of protein localization ,Intracellular Process,GO:0045184,1267,15,3.26,+,4.6,4.84E-07,6.90E-04,11
Cluster-11,intracellular protein transport ,Intracellular Process,GO:0006886,682,9,1.76,+,5.13,0.0000594,4.66E-02,22
Cluster-11,intracellular transport ,Intracellular Process,GO:0046907,1360,16,3.5,+,4.57,1.96E-07,3.42E-04,8
Cluster-11,localization ,Intracellular Process,GO:0051179,4566,31,11.75,+,2.64,1.29E-08,6.72E-05,3
Cluster-11,macromolecule localization ,Intracellular Process,GO:0033036,2345,22,6.04,+,3.64,2.45E-08,9.62E-05,5
Cluster-11,nuclear transport ,Intracellular Process,GO:0051169,248,6,0.64,+,9.4,0.0000463,3.82E-02,18
Cluster-11,nucleocytoplasmic transport ,Intracellular Process,GO:0006913,248,6,0.64,+,9.4,0.0000463,4.03E-02,19
Cluster-11,organelle localization ,Intracellular Process,GO:0051640,513,9,1.32,+,6.82,0.0000065,6.79E-03,15
Cluster-11,protein localization ,Intracellular Process,GO:0008104,1919,17,4.94,+,3.44,0.00000378,4.56E-03,13
Cluster-11,protein transport ,Intracellular Process,GO:0015031,1179,15,3.03,+,4.94,1.94E-07,3.80E-04,9
Cluster-11,protein-lipid complex remodeling ,Intracellular Process,GO:0034368,29,3,0.07,+,40.19,0.0000752,4.72E-02,23
Cluster-11,cholesterol efflux ,Metabolic Process,GO:0033344,27,3,0.07,+,43.16,0.0000618,4.61E-02,21
Cluster-11,high-density lipoprotein particle remodeling ,Metabolic Process,GO:0034375,16,3,0.04,+,72.84,0.000015,1.47E-02,16
Cluster-11,nitrogen compound transport ,Metabolic Process,GO:0071705,1589,17,4.09,+,4.16,2.79E-07,4.38E-04,10
Cluster-11,plasma lipoprotein particle remodeling ,Metabolic Process,GO:0034369,29,3,0.07,+,40.19,0.0000752,4.91E-02,24
Cluster-12,cell adhesion ,Cell Adhesion,GO:0007155,969,5,0.47,+,10.62,0.0000483,,1
Cluster-12,anatomical structure development ,Developmental Process,GO:0048856,5144,7,2.5,+,2.8,0.0035,,17
Cluster-12,negative regulation of osteoclast development ,Developmental Process,GO:2001205,5,1,0,+, > 100,0.00291,,10
Cluster-12,post-embryonic eye morphogenesis ,Developmental Process,GO:0048050,8,1,0,+, > 100,0.00436,,22
Cluster-12,maintenance of protein location in extracellular region ,Extracellular Matrix,GO:0071694,7,1,0,+, > 100,0.00388,,19
Cluster-12,sequestering of BMP in extracellular matrix ,Extracellular Matrix,GO:0035582,4,1,0,+, > 100,0.00243,,8
Cluster-12,sequestering of TGFbeta in extracellular matrix ,Extracellular Matrix,GO:0035583,4,1,0,+, > 100,0.00243,,7
Cluster-12,establishment of blood-nerve barrier ,Homeostasis,GO:0008065,4,1,0,+, > 100,0.00243,,9
Cluster-12,positive regulation of appetite ,Homeostasis,GO:0032100,5,1,0,+, > 100,0.00291,,13
Cluster-12,activation of protein kinase A activity ,Intracellular Process,GO:0034199,4,1,0,+, > 100,0.00243,,4
Cluster-12,establishment or maintenance of actin cytoskeleton polarity ,Intracellular Process,GO:0030950,3,1,0,+, > 100,0.00194,,3
Cluster-12,establishment or maintenance of cytoskeleton polarity ,Intracellular Process,GO:0030952,7,1,0,+, > 100,0.00388,,21
Cluster-12,T-tubule organization ,Intracellular Process,GO:0033292,9,1,0,+, > 100,0.00485,,23
Cluster-12,cellular detoxification of nitrogen compound ,Metabolic Process,GO:0070458,5,1,0,+, > 100,0.00291,,12
Cluster-12,detoxification of nitrogen compound ,Metabolic Process,GO:0051410,5,1,0,+, > 100,0.00291,,11
Cluster-12,nitrobenzene metabolic process ,Metabolic Process,GO:0018916,4,1,0,+, > 100,0.00243,,5
Cluster-12,cellular response to insulin-like growth factor stimulus ,Response to Stimulus,GO:1990314,9,1,0,+, > 100,0.00485,,25
Cluster-12,cellular response to muramyl dipeptide ,Response to Stimulus,GO:0071225,9,1,0,+, > 100,0.00485,,24
Cluster-12,cellular response to vitamin K ,Response to Stimulus,GO:0071307,4,1,0,+, > 100,0.00243,,6
Cluster-12,positive regulation of response to extracellular stimulus ,Response to Stimulus,GO:0032106,6,1,0,+, > 100,0.00339,,16
Cluster-12,positive regulation of response to food ,Response to Stimulus,GO:0032097,5,1,0,+, > 100,0.00291,,14
Cluster-12,positive regulation of response to nutrient levels ,Response to Stimulus,GO:0032109,6,1,0,+, > 100,0.00339,,15
Cluster-12,response to stimulus ,Response to Stimulus,GO:0050896,8209,9,3.99,+,2.26,0.00164,,2
Cluster-12,response to vitamin K ,Response to Stimulus,GO:0032571,7,1,0,+, > 100,0.00388,,20
Cluster-12,epithelial cell development ,Skin Development,GO:0002064,191,2,0.09,+,21.56,0.00374,,18
Cluster-13,amide biosynthetic process ,Biosynthetic Process,GO:0043604,527,12,1.18,+,10.19,1.55E-09,3.47E-06,6
Cluster-13,cellular macromolecule biosynthetic process ,Biosynthetic Process,GO:0034645,773,11,1.73,+,6.37,0.000000877,6.55E-04,21
Cluster-13,cellular nitrogen compound biosynthetic process ,Biosynthetic Process,GO:0044271,1588,16,3.55,+,4.51,0.000000173,1.81E-04,15
Cluster-13,macromolecule biosynthetic process ,Biosynthetic Process,GO:0009059,1487,15,3.32,+,4.51,0.000000471,4.35E-04,17
Cluster-13,peptide biosynthetic process ,Biosynthetic Process,GO:0043043,408,11,0.91,+,12.07,1.5E-09,3.91E-06,8
Cluster-13,peptide metabolic process ,Biosynthetic Process,GO:0006518,537,12,1.2,+,10,1.9E-09,3.73E-06,7
Cluster-13,gene expression ,Gene Expression,GO:0010467,2314,20,5.17,+,3.87,3.27E-08,5.13E-05,10
Cluster-13,protein-containing complex assembly ,Intracellular Process,GO:0065003,1270,13,2.84,+,4.58,0.00000288,1.88E-03,24
Cluster-13,protein-containing complex organization ,Intracellular Process,GO:0043933,1423,16,3.18,+,5.03,3.85E-08,5.49E-05,11
Cluster-13,protein-DNA complex subunit organization ,Intracellular Process,GO:0071824,233,7,0.52,+,13.45,0.00000096,6.84E-04,22
Cluster-13,cellular amide metabolic process ,Metabolic Process,GO:0043603,802,13,1.79,+,7.26,1.57E-08,2.74E-05,9
Cluster-13,cellular macromolecule metabolic process ,Metabolic Process,GO:0044260,2518,24,5.63,+,4.27,6.92E-11,3.61E-07,2
Cluster-13,cellular metabolic process ,Metabolic Process,GO:0044237,6606,36,14.76,+,2.44,1.73E-10,6.78E-07,4
Cluster-13,cellular nitrogen compound metabolic process ,Metabolic Process,GO:0034641,3573,28,7.98,+,3.51,5.67E-11,4.45E-07,3
Cluster-13,macromolecule metabolic process ,Metabolic Process,GO:0043170,5941,31,13.27,+,2.34,7.32E-08,9.57E-05,13
Cluster-13,metabolic process ,Metabolic Process,GO:0008152,8131,36,18.17,+,1.98,0.00000014,1.56E-04,14
Cluster-13,nitrogen compound metabolic process ,Metabolic Process,GO:0006807,6710,33,14.99,+,2.2,7.76E-08,9.36E-05,12
Cluster-13,organic substance metabolic process ,Metabolic Process,GO:0071704,7697,34,17.2,+,1.98,0.000000702,5.80E-04,19
Cluster-13,primary metabolic process ,Metabolic Process,GO:0044238,7228,33,16.15,+,2.04,0.000000529,4.61E-04,18
Cluster-13,translation ,Gene Expression,GO:0006412,379,11,0.85,+,12.99,7.04E-10,2.21E-06,5
Cluster-13,cytoplasmic translation ,Gene Expression,GO:0002181,124,9,0.28,+,32.49,1.31E-11,2.06E-07,1
Cluster-13,nucleic acid metabolic process ,Metabolic Process,GO:0090304,2276,18,5.09,+,3.54,0.000000822,6.44E-04,20
Cluster-13,nucleobase-containing compound metabolic process ,Metabolic Process,GO:0006139,2825,19,6.31,+,3.01,0.00000413,2.59E-03,25
Cluster-13,nucleosome assembly ,Intracellular Process,GO:0006334,93,5,0.21,+,24.06,0.00000256,1.75E-03,23
Cluster-13,nucleosome organization ,Intracellular Process,GO:0034728,125,6,0.28,+,21.48,0.000000444,4.35E-04,16
Cluster-14,peptide cross-linking ,Biosynthetic Process,GO:0018149,36,3,0.02,+, > 100,0.000000523,4.10E-03,1
Cluster-14,fibrinolysis ,Blood Clotting,GO:0042730,19,2,0.01,+, > 100,0.0000355,4.64E-02,12
Cluster-14,negative regulation of blood coagulation ,Blood Clotting,GO:0030195,46,2,0.02,+,99.46,0.000189,,14
Cluster-14,negative regulation of coagulation ,Blood Clotting,GO:0050819,50,2,0.02,+,91.51,0.000222,,15
Cluster-14,negative regulation of hemostasis ,Blood Clotting,GO:1900047,47,2,0.02,+,97.35,0.000197,,16
Cluster-14,regulation of blood coagulation ,Blood Clotting,GO:0030193,70,2,0.03,+,65.36,0.000427,,21
Cluster-14,regulation of coagulation ,Blood Clotting,GO:0050818,75,2,0.03,+,61,0.000488,,22
Cluster-14,regulation of hemostasis ,Blood Clotting,GO:1900046,72,2,0.03,+,63.55,0.000451,,24
Cluster-14,tissue development ,Developmental Process,GO:0009888,1726,5,0.75,+,6.63,0.000394,,25
Cluster-14,intermediate filament cytoskeleton organization ,Intracellular Process,GO:0045104,92,3,0.04,+,74.6,0.00000782,1.36E-02,9
Cluster-14,intermediate filament organization ,Intracellular Process,GO:0045109,70,3,0.03,+,98.04,0.00000353,1.11E-02,5
Cluster-14,intermediate filament-based process ,Intracellular Process,GO:0045103,93,3,0.04,+,73.8,0.00000808,1.27E-02,7
Cluster-14,protein heterooligomerization ,Intracellular Process,GO:0051291,27,2,0.01,+, > 100,0.0000685,,20
Cluster-14,protein heterotetramerization ,Intracellular Process,GO:0051290,15,2,0.01,+, > 100,0.000023,3.28E-02,11
Cluster-14,negative regulation of proteolysis ,Metabolic Process,GO:0045861,345,3,0.15,+,19.89,0.000372,,17
Cluster-14,epidermal cell differentiation ,Skin Development,GO:0009913,201,4,0.09,+,45.53,0.00000115,6.03E-03,3
Cluster-14,epidermis development ,Skin Development,GO:0008544,321,4,0.14,+,28.51,0.0000072,1.41E-02,10
Cluster-14,epithelial cell differentiation ,Skin Development,GO:0030855,620,5,0.27,+,18.45,0.00000288,1.13E-02,6
Cluster-14,epithelium development ,Skin Development,GO:0060429,1072,5,0.47,+,10.67,0.0000409,4.93E-02,13
Cluster-14,keratinization ,Skin Development,GO:0031424,83,3,0.04,+,82.69,0.0000058,1.30E-02,8
Cluster-14,keratinocyte differentiation ,Skin Development,GO:0030216,138,4,0.06,+,66.31,0.000000266,4.16E-03,2
Cluster-14,positive regulation of epidermis development ,Skin Development,GO:0045684,32,2,0.01,+, > 100,0.0000945,,19
Cluster-14,regulation of epidermis development ,Skin Development,GO:0045682,65,2,0.03,+,70.39,0.00037,,23
Cluster-14,skin development ,Skin Development,GO:0043588,268,4,0.12,+,34.14,0.00000356,9.30E-03,4
Cluster-14,negative regulation of wound healing ,Wound Healing,GO:0061045,69,2,0.03,+,66.31,0.000415,,18
Cluster-15,peptide cross-linking ,Biosynthetic Process,GO:0018149,36,2,0.03,+,57.19,0.000616,,20
Cluster-15,positive regulation of biosynthetic process ,Biosynthetic Process,GO:0009891,2087,8,2.03,+,3.95,0.000461,,16
Cluster-15,regulation of plasminogen activation ,Blood Clotting,GO:0010755,18,2,0.02,+, > 100,0.000168,,4
Cluster-15,regulation of cell adhesion ,Cell Adhesion,GO:0030155,789,5,0.77,+,6.52,0.000802,,23
Cluster-15,positive regulation of cell development ,Cell Cycle,GO:0010720,308,4,0.3,+,13.37,0.000206,,5
Cluster-15,regulation of cell death ,Cell Death,GO:0010941,1654,8,1.61,+,4.98,0.0000917,,2
Cluster-15,regeneration ,Developmental Process,GO:0031099,154,3,0.15,+,20.05,0.00045,,15
Cluster-15,cell redox homeostasis ,Homeostasis,GO:0045454,42,2,0.04,+,49.02,0.000826,,24
Cluster-15,cellular component organization ,Intracellular Process,GO:0016043,5523,13,5.37,+,2.42,0.000397,,12
Cluster-15,cellular component organization or biogenesis ,Intracellular Process,GO:0071840,5727,13,5.56,+,2.34,0.000584,,19
Cluster-15,regulation of cellular metabolic process ,Metabolic Process,GO:0031323,5647,13,5.49,+,2.37,0.000503,,17
Cluster-15,regulation of hydrolase activity ,Metabolic Process,GO:0051336,1020,6,0.99,+,6.06,0.000318,,10
Cluster-15,cellular nitrogen compound metabolic process ,Metabolic Process,GO:0034641,3573,10,3.47,+,2.88,0.000841,,25
Cluster-15,metabolic process ,Metabolic Process,GO:0008152,8131,16,7.9,+,2.03,0.000311,,9
Cluster-15,negative regulation of lipid transport ,Metabolic Process,GO:0032369,30,2,0.03,+,68.63,0.000436,,13
Cluster-15,nitrogen compound metabolic process ,Metabolic Process,GO:0006807,6710,15,6.52,+,2.3,0.000127,,3
Cluster-15,organic substance metabolic process ,Metabolic Process,GO:0071704,7697,16,7.48,+,2.14,0.000211,,6
Cluster-15,positive regulation of catalytic activity ,Metabolic Process,GO:0043085,1194,6,1.16,+,5.17,0.000735,,22
Cluster-15,primary metabolic process ,Metabolic Process,GO:0044238,7228,16,7.02,+,2.28,0.0000526,,1
Cluster-15,response to nitrogen compound ,Response to Stimulus,GO:1901698,1062,6,1.03,+,5.82,0.000395,,11
Cluster-15,response to organonitrogen compound ,Response to Stimulus,GO:0010243,968,6,0.94,+,6.38,0.00024,,7
Cluster-15,response to oxygen-containing compound ,Response to Stimulus,GO:1901700,1551,7,1.51,+,4.65,0.000448,,14
Cluster-15,positive regulation of molecular function ,Molecular Function,GO:0044093,1590,7,1.54,+,4.53,0.000521,,18
Cluster-15,regulation of DNA methylation ,Gene Expression,GO:0044030,25,2,0.02,+,82.36,0.00031,,8
Cluster-15,RNA metabolic process ,Gene Expression,GO:0016070,1635,7,1.59,+,4.41,0.000617,,21
Cluster-17,peptidyl-cysteine modification ,Biosynthetic Process,GO:0018198,39,2,0.01,+, > 100,0.0000231,2.14E-02,19
Cluster-17,peptidyl-cysteine S-nitrosylation ,Biosynthetic Process,GO:0018119,6,2,0,+, > 100,0.000000792,2.07E-03,8
Cluster-17,positive regulation of intrinsic apoptotic signaling pathway ,Cell Death,GO:2001244,61,2,0.01,+, > 100,0.000055,3.92E-02,21
Cluster-17,astrocyte development ,Developmental Process,GO:0014002,35,2,0.01,+, > 100,0.0000188,1.97E-02,15
Cluster-17,astrocyte differentiation ,Developmental Process,GO:0048708,60,2,0.01,+, > 100,0.0000533,3.98E-02,22
Cluster-17,zinc ion homeostasis ,Homeostasis,GO:0055069,40,2,0.01,+, > 100,0.0000243,2.12E-02,18
Cluster-17,cellular zinc ion homeostasis ,Homeostasis,GO:0006882,37,2,0.01,+, > 100,0.0000209,2.05E-02,17
Cluster-17,chronic inflammatory response ,Immune Function,GO:0002544,13,3,0,+, > 100,1.54E-09,2.41E-05,1
Cluster-17,granulocyte chemotaxis ,Immune Function,GO:0071621,87,2,0.02,+, > 100,0.00011,,25
Cluster-17,inflammatory response ,Immune Function,GO:0006954,540,3,0.1,+,28.6,0.0000715,4.88E-02,23
Cluster-17,leukocyte aggregation ,Immune Function,GO:0070486,11,2,0,+, > 100,0.00000221,3.84E-03,9
Cluster-17,leukocyte cell-cell adhesion ,Immune Function,GO:0007159,56,2,0.01,+, > 100,0.0000466,3.65E-02,20
Cluster-17,leukocyte migration involved in inflammatory response ,Immune Function,GO:0002523,21,2,0,+, > 100,0.00000715,1.12E-02,10
Cluster-17,neutrophil aggregation ,Immune Function,GO:0070488,2,2,0,+, > 100,0.00000017,6.66E-04,2
Cluster-17,neutrophil chemotaxis ,Immune Function,GO:0030593,80,2,0.02,+, > 100,0.0000935,,24
Cluster-17,autocrine signaling ,Intercellular Communication,GO:0035425,7,2,0,+, > 100,0.00000102,2.00E-03,7
Cluster-17,modulation of process of another organism ,Intracellular Process,GO:0035821,29,2,0.01,+, > 100,0.0000131,1.72E-02,13
Cluster-17,protein nitrosylation ,Intracellular Process,GO:0017014,6,2,0,+, > 100,0.000000792,1.77E-03,6
Cluster-17,sequestering of metal ion ,Intracellular Process,GO:0051238,23,2,0,+, > 100,0.00000848,1.21E-02,11
Cluster-17,sequestering of zinc ion ,Intracellular Process,GO:0032119,4,2,0,+, > 100,0.000000424,1.33E-03,5
Cluster-17,defense response to bacterium ,Response to Bacteria,GO:0042742,376,3,0.07,+,41.07,0.0000244,2.01E-02,16
Cluster-17,response to lipopolysaccharide ,Response to Bacteria,GO:0032496,313,3,0.06,+,49.33,0.0000142,1.71E-02,12
Cluster-17,response to molecule of bacterial origin ,Response to Bacteria,GO:0002237,331,3,0.06,+,46.65,0.0000167,1.87E-02,14
Cluster-17,defense response to fungus ,Response to Fungus,GO:0050832,58,3,0.01,+, > 100,9.87E-08,7.74E-04,3
Cluster-17,response to fungus ,Response to Fungus,GO:0009620,69,3,0.01,+, > 100,0.000000164,8.55E-04,4
Cluster-18,positive regulation of cell killing ,Cell Death,GO:0031343,66,2,0.04,+,56.72,0.000579,,2
Cluster-18,regulation of cell killing ,Cell Death,GO:0031341,103,2,0.06,+,36.34,0.00137,,7
Cluster-18,complement activation ,Complement Cascade,GO:0006956,140,2,0.07,+,26.74,0.00249,,11
Cluster-18,positive regulation of complement-dependent cytotoxicity ,Complement Cascade,GO:1903661,1,1,0,+, > 100,0.00107,,6
Cluster-18,regulation of complement-dependent cytotoxicity ,Complement Cascade,GO:1903659,8,1,0,+, > 100,0.0048,,25
Cluster-18,bone trabecula formation ,Developmental Process,GO:0060346,8,1,0,+, > 100,0.0048,,23
Cluster-18,direct ossification ,Developmental Process,GO:0036072,7,1,0,+, > 100,0.00426,,21
Cluster-18,intramembranous ossification ,Developmental Process,GO:0001957,7,1,0,+, > 100,0.00426,,18
Cluster-18,positive regulation of female gonad development ,Developmental Process,GO:2000196,1,1,0,+, > 100,0.00107,,5
Cluster-18,regulation of female gonad development ,Developmental Process,GO:2000194,7,1,0,+, > 100,0.00426,,20
Cluster-18,tooth eruption ,Developmental Process,GO:0044691,7,1,0,+, > 100,0.00426,,19
Cluster-18,negative regulation of feeding behavior ,Homeostasis,GO:2000252,6,1,0,+, > 100,0.00373,,16
Cluster-18,positive regulation of immune response ,Immune Function,GO:0050778,590,3,0.32,+,9.52,0.00329,,15
Cluster-18,regulation of immune response ,Immune Function,GO:0050776,935,5,0.5,+,10.01,0.0000718,,1
Cluster-18,regulation of immune system process ,Immune Function,GO:0002682,1520,5,0.81,+,6.16,0.000699,,3
Cluster-18,regulation of extracellular exosome assembly ,Intercellular Transport,GO:1903551,6,1,0,+, > 100,0.00373,,17
Cluster-18,regulation of progesterone secretion ,Intercellular Transport,GO:2000870,2,1,0,+, > 100,0.0016,,8
Cluster-18,vesicle-mediated transport ,Intercellular Transport,GO:0016192,1382,4,0.74,+,5.42,0.00459,,22
Cluster-18,positive regulation of progesterone secretion ,Intercellular Transport,GO:2000872,1,1,0,+, > 100,0.00107,,4
Cluster-18,mitochondrial translational elongation ,Intracellular Process,GO:0070125,4,1,0,+, > 100,0.00267,,13
Cluster-18,positive regulation of receptor localization to synapse ,Intracellular Process,GO:1902685,4,1,0,+, > 100,0.00267,,12
Cluster-18,cellular response to fluoride ,Response to Stimulus,GO:1902618,2,1,0,+, > 100,0.0016,,9
Cluster-18,cellular response to UV-B ,Response to Stimulus,GO:0071493,8,1,0,+, > 100,0.0048,,24
Cluster-18,cellular response to vitamin E ,Response to Stimulus,GO:0071306,2,1,0,+, > 100,0.0016,,10
Cluster-18,response to fluoride ,Response to Stimulus,GO:1902617,5,1,0,+, > 100,0.0032,,14
Cluster-19,amide biosynthetic process ,Biosynthetic Process,GO:0043604,527,28,3.05,+,9.19,6.94E-19,2.18E-15,5
Cluster-19,cellular macromolecule biosynthetic process ,Biosynthetic Process,GO:0034645,773,27,4.47,+,6.04,6.46E-14,4.83E-11,21
Cluster-19,cellular nitrogen compound biosynthetic process ,Biosynthetic Process,GO:0044271,1588,38,9.18,+,4.14,2.31E-14,1.81E-11,20
